Name,Team,Position,Price,2020_Average,model_proj_score,manual_weight,Proj_Score,proj_salary,value,2020_Games,talent,opportunity,durability,form,consistency,weighted_talent,weighted_opportunity,weighted_durability,weighted_form,weighted_consistency,2021 Notes
Jarrod Berry,BRI,MID,521500,97.1,89,0,89,485290,-36210,15,89.76,5.7,88.24,81.8,0.35,12.93,7.71,7.06,4.94,1.87,
Jared Polec,NME,MID,477800,88.9,88,0,88,483322,5522,13,87.92,6.41,76.47,94.5,0.23,12.67,8.67,6.12,5.68,1.23,
Rory Sloane,ADE,MID,471900,87.8,88,0,88,483040,11140,12,104.19,5.6,70.59,86.33,0.17,15.01,7.57,5.65,5.21,0.91,
Bachar Houli,RIC,DEF,465600,86.7,88,0,88,481072,15472,9,105.17,6.41,52.94,74,0.31,15.15,8.67,4.24,4.49,1.66,
Toby Nankervis,RIC,RUC,442900,82.4,87,6,93,479384,36484,7,92.91,6.9125,41.18,102.4,0.36,13.39,9.34,3.3,6.14,1.92,more opportunity (Soldo out all year)
Trent Cotchin,RIC,MID,443500,82.5,87,0,87,479244,35744,13,94.29,6.3,76.47,75.5,0.24,13.58,8.52,6.12,4.58,1.28,
Rory Lobb,FRE,RUC,415000,77.2,87,0,87,478540,63540,17,84.07,5.9325,100,76.2,0.24,12.11,8.02,8,4.62,1.28,
Darcy Byrne-Jones,POR,DEF,441800,82.2,87,0,87,477978,36178,17,87,5.47,100,86.17,0.16,12.53,7.4,8,5.2,0.86,
David Swallow,GCS,MID,438400,81.6,87,0,87,477978,39578,15,86.12,6.31,88.24,87.75,0.13,12.41,8.53,7.06,5.29,0.7,
Ben McEvoy,HAW,RUC,456000,84.9,87,0,87,477837,21837,16,94.79,4.9,94.12,79.75,0.25,13.66,6.63,7.53,4.82,1.34,
Brandon Ellis,GCS,MID,450600,83.9,87,0,87,477275,26675,16,82.88,6.42,94.12,78.8,0.19,11.94,8.68,7.53,4.77,1.02,
Robbie Tarrant,NME,DEF,463100,86.2,87,0,87,477134,14034,16,85.19,5.21,94.12,90,0.31,12.27,7.05,7.53,5.42,1.66,
Shai Bolton,RIC,MID,462400,86.1,87,0,87,474322,11922,15,84.84,5.46,88.24,88.88,0.32,12.22,7.38,7.06,5.36,1.71,
Shai Bolton,RIC,FWD,462400,86.1,87,0,87,474322,11922,15,84.84,5.46,88.24,88.88,0.32,12.22,7.38,7.06,5.36,1.71,
Oscar McInerney,BRI,RUC,443400,82.5,86,0,86,473056,29656,17,82.21,5.4775,100,82.71,0.26,11.84,7.41,8,5,1.39,
Zac Williams,CAR,DEF,458600,85.4,86,6,92,471791,13191,11,98.62,5.66,64.71,75.75,0.36,14.21,7.65,5.18,4.59,1.92,Club change
Nick Vlastuin,RIC,DEF,483500,90,86,0,86,470806,-12694,16,88.62,4.7,94.12,81.89,0.35,12.77,6.36,7.53,4.95,1.87,
Ben Keays,ADE,MID,436200,81.2,86,0,86,470806,34606,16,80.19,5.86,94.12,85.2,0.25,11.55,7.92,7.53,5.14,1.34,
Bailey Williams,WBD,DEF,452600,84.2,86,0,86,470384,17784,17,84.39,5.34,100,80.8,0.22,12.16,7.22,8,4.89,1.18,
Kyle Langford,ESS,MID,436900,81.3,86,0,86,470384,33484,16,80.31,5.95,94.12,87.67,0.19,11.57,8.04,7.53,5.29,1.02,
Kyle Langford,ESS,FWD,436900,81.3,86,0,86,470384,33484,16,80.31,5.95,94.12,87.67,0.19,11.57,8.04,7.53,5.29,1.02,
Liam Shiels,HAW,MID,420100,78.2,86,0,86,469400,49300,16,84.84,5.68,94.12,76,0.25,12.22,7.68,7.53,4.61,1.34,
Jack Bowes,GCS,DEF,451300,84,85,0,85,467994,16694,17,83,5.98,100,70.2,0.18,11.96,8.08,8,4.27,0.97,
Angus Brayshaw,MEL,MID,435200,81,85,0,85,467713,32513,14,91.79,5.61,82.35,78.33,0.21,13.22,7.59,6.59,4.74,1.12,
Hunter Clark,STK,DEF,438900,81.7,85,0,85,467431,28531,16,80.28,5.89,94.12,77.33,0.28,11.57,7.96,7.53,4.68,1.5,
Noah Anderson,GCS,MID,411500,76.6,85,0,85,463775,52275,17,75.59,5.79,100,87.8,0.18,10.89,7.83,8,5.29,0.97,
Dane Rampe,SYD,DEF,492300,91.6,84,0,84,463213,-29087,11,94.19,5,64.71,91.6,0.36,13.57,6.76,5.18,5.51,1.92,
Kane Lambert,RIC,FWD,445900,83,84,0,84,461947,16047,16,83.24,5.38,94.12,78,0.25,11.99,7.27,7.53,4.72,1.34,
Chad Wingard,HAW,FWD,452300,84.2,84,-2,82,459978,7678,17,83.18,4.67,100,80.4,0.29,11.98,6.32,8,4.86,1.55,nigggke
Liam Ryan,WCE,FWD,409600,76.2,84,0,84,459697,50097,17,77.33,3.76,100,106.5,0.39,11.14,5.09,8,6.38,2.08,
Mitch Robinson,BRI,MID,418800,77.9,84,0,84,459416,40616,17,90.67,4.91,100,72.14,0.11,13.06,6.64,8,4.38,0.59,
Zak Butters,POR,FWD,471400,87.7,84,0,84,458572,-12828,15,84.82,4.73,88.24,83.75,0.35,12.22,6.4,7.06,5.06,1.87,
Josh Daicos,COL,MID,442200,82.3,84,0,84,458572,16372,16,79.22,5.5,94.12,83.57,0.22,11.41,7.44,7.53,5.05,1.18,
Jack Lukosius,GCS,DEF,430800,80.2,84,0,84,458150,27350,17,79.18,5.73,100,68,0.24,11.41,7.75,8,4.14,1.28,
