,Name,Team,Position,proj_score,proj_salary,Price,value,2020_Games,2020_Average,talent,opportunity,durability,form,consistency,weighted_talent,weighted_opportunity,weighted_durability,weighted_form,weighted_consistency,manual_weight,updated_proj
365,Brayden Fiorini,GCS,MID,64,344245,301700,42545,5,62.4,84.13,4.56,29.41,62.4,0,12.12,6.17,2.36,3.82,0.01,0,64
366,Alex Sexton,GCS,FWD,64,344105,330000,14105,14,61.4,60.43,3.28,82.35,71.67,0.07,8.71,4.44,6.59,4.35,0.38,0,64
367,Adam Tomlinson,MEL,DEF,64,343824,324000,19824,13,60.3,59.31,4.2,76.47,67.17,0,8.55,5.68,6.12,4.09,0.01,0,64
368,Adam Tomlinson,MEL,MID,64,343824,324000,19824,13,60.3,59.31,4.2,76.47,67.17,0,8.55,5.68,6.12,4.09,0.01,0,64
369,Sam Draper,ESS,RUC,64,343402,378100,-34698,8,70.4,69.38,4.7775,47.06,57.75,0.12,10,6.46,3.77,3.54,0.65,0,64
370,Sam Simpson,GEE,FWD,64,342558,350600,-8042,6,72.5,72.78,4.47,35.29,72.5,0.11,10.49,6.05,2.83,4.4,0.59,0,64
371,Nathan Broad,RIC,DEF,64,341292,349200,-7908,13,65,63.25,3.77,76.47,58.75,0.06,9.12,5.1,6.12,3.6,0.33,0,64
372,Jye Caldwell,ESS,MID,64,341292,348600,-7308,9,64.9,63.89,4.24,52.94,84,0,9.21,5.74,4.24,5.07,0.01,5,69
373,Jye Caldwell,ESS,FWD,64,341292,348600,-7308,9,64.9,63.89,4.24,52.94,84,0,9.21,5.74,4.24,5.07,0.01,5,69
374,Darcy Tucker,FRE,MID,63,339464,347900,-8436,8,64.8,70.04,4.67,47.06,64.8,0,10.09,6.32,3.77,3.95,0.01,0,63
