"","Name","Team","Position","Proj_Score","Price","adp"
"381","Mitchell Hinge","ADE","MID",60,328800,-35
"382","Quinton Narkle","GEE","MID",60,310400,-35
"383","Brayden Fiorini","GCS","MID",60,301700,-35
"384","Rowan Marshall","STK","RUC",60,557200,-27
"385","Paddy Ryder","STK","RUC",60,505900,-27
"386","Jarrod Witts","GCS","RUC",60,501600,-27
"387","Sean Darcy","FRE","RUC",60,420100,-27
"388","Rory Lobb","FRE","RUC",60,415000,-27
"389","Cale Hooker","ESS","DEF",59,372700,-21
"390","Andrew McPherson","ADE","DEF",59,368300,-21
"391","Charlie Ballard","GCS","DEF",59,307600,-21
"392","Brandon Starcevich","BRI","DEF",59,307300,-21
"393","Martin Gleeson","ESS","DEF",59,293400,-21
"394","Phil Davis","GWS","DEF",59,290700,-21
"395","Sam Simpson","GEE","FWD",59,350600,-13
"396","Bailey Scott","NME","FWD",59,332300,-13
"397","Daniel Lloyd","GWS","FWD",59,330900,-13
"398","Nick Holman","GCS","FWD",59,328600,-13
"399","Max King","STK","FWD",59,327400,-13
"400","Sydney Stack","RIC","FWD",59,277600,-13
"401","Bailey Scott","NME","MID",59,332300,-36
"402","Sydney Stack","RIC","MID",59,277600,-36
"403","Sam Draper","ESS","RUC",59,378100,-28
"404","Adam Tomlinson","MEL","DEF",58,324000,-22
"405","Lachie Ash","GWS","DEF",58,320600,-22
"406","Michael Hartley","HAW","DEF",58,317800,-22
"407","Tom Williamson","CAR","DEF",58,313400,-22
"408","Wayne Milera","ADE","DEF",58,312200,-22
"409","Jordan Roughead","COL","DEF",58,311300,-22
"410","James Frawley","STK","DEF",58,295900,-22
"411","Dean Kent","STK","FWD",58,335200,-14
"412","Aaron Naughton","WBD","FWD",58,329700,-14
"413","Harry McKay","CAR","FWD",58,319900,-14
"414","Ed Richards","WBD","FWD",58,309300,-14
"415","Ben King","GCS","FWD",58,298700,-14
"416","Adam Tomlinson","MEL","MID",58,324000,-37
"417","Ed Richards","WBD","MID",58,309300,-37
"418","Lachlan Sholl","ADE","DEF",57,343200,-23
"419","Jake Kolodjashnij","GEE","DEF",57,330200,-23
"420","Aaron Francis","ESS","DEF",57,320300,-23
"421","Daniel McStay","BRI","FWD",57,333800,-15
"422","Josh Jenkins","GEE","FWD",57,323400,-15
"423","Eddie Betts","CAR","FWD",57,308800,-15
"424","Tyson Stengle","ADE","FWD",57,305300,-15
"425","Ben Brown","MEL","FWD",57,260300,-15
"426","Darcy Tucker","FRE","MID",57,347900,-38
"427","Lachlan Sholl","ADE","MID",57,343200,-38
"428","Riley Bonner","POR","DEF",56,318200,-24
"429","Sam Frost","HAW","DEF",56,304900,-24
"430","Jarrod Lienert","POR","DEF",56,289200,-24
"431","Todd Marshall","POR","FWD",56,377400,-16
"432","Jake Aarts","RIC","FWD",56,329400,-16
"433","Tom McCartin","SYD","FWD",56,312800,-16
"434","Josh Bruce","WBD","FWD",56,275000,-16
"435","Tom Cutler","ESS","MID",56,364700,-39
"436","Connor Blakely","FRE","MID",56,295000,-39
"437","Nic Newman","CAR","DEF",55,415400,-25
"438","Matt Guelfi","ESS","DEF",55,324300,-25
"439","Jack Lonie","STK","FWD",55,351200,-17
"440","Lachlan Murphy","ADE","FWD",55,328600,-17
"441","Tom Atkins","GEE","FWD",55,293500,-17
"442","Jackson Hately","ADE","MID",55,310300,-40
"443","Ben McKay","NME","DEF",54,333600,-26
"444","Lachie Fogarty","CAR","FWD",54,319100,-18
"445","Alex Neal-Bullen","MEL","FWD",54,310100,-18
"446","Shaun McKernan","STK","FWD",54,245900,-18
"447","Brayden Sier","COL","MID",54,313800,-41
"448","Charlie Constable","GEE","MID",54,266500,-41
"449","Josh Rotham","WCE","DEF",53,331500,-27
"450","Lewis Melican","SYD","DEF",53,324700,-27
"451","Dylan Clarke","ESS","FWD",53,348600,-19
"452","Lin Jong","WBD","FWD",53,318100,-19
"453","Curtis Taylor","NME","FWD",53,315800,-19
"454","Jake Stringer","ESS","FWD",53,282600,-19
"455","Dylan Clarke","ESS","MID",53,348600,-42
"456","Dylan Stephens","SYD","MID",53,337800,-42
"457","Lin Jong","WBD","MID",53,318100,-42
"458","Adam Kennedy","GWS","MID",53,300900,-42
"459","Ryan Burton","POR","DEF",52,318800,-28
"460","Kane Farrell","POR","FWD",52,309200,-20
"461","Sam Weideman","MEL","FWD",52,303800,-20
"462","James Stewart","ESS","FWD",52,295000,-20
"463","Darcy Fogarty","ADE","FWD",52,286400,-20
"464","Kane Farrell","POR","MID",52,309200,-43
"465","Tom De Koning","CAR","RUC",52,305500,-35
"466","Zaine Cordy","WBD","DEF",51,313700,-29
"467","Connor Budarick","GCS","DEF",51,256500,-29
"468","Bailey Dale","WBD","FWD",51,298500,-21
"469","Mitch Crowden","FRE","FWD",51,295500,-21
"470","Jack Ross","RIC","MID",51,333100,-44
"471","Tyler Brown","COL","MID",51,311000,-44
"472","Mabior Chol","RIC","RUC",51,327200,-36
"473","Noah Answerth","BRI","DEF",50,304500,-30
"474","Daniel Howe","HAW","DEF",50,280500,-30
"475","Jake Riccardi","GWS","FWD",50,336500,-22
"476","Harry Schoenberg","ADE","FWD",50,315600,-22
"477","Dylan Moore","HAW","FWD",50,302300,-22
