"","Name","Team","Position","proj_score","proj_salary","Price","value","2020_Games","2020_Average","talent","opportunity","durability","form","consistency","weighted_talent","weighted_opportunity","weighted_durability","weighted_form","weighted_consistency","manual_weight"
"161","Kyle Langford","ESS","MID",81,441689,436900,4789,16,81.3,80.31,5.95,94.12,87.67,0.19,14.46,3.1,7.53,3.3,1.63,0
"162","Kyle Langford","ESS","FWD",81,441689,436900,4789,16,81.3,80.31,5.95,94.12,87.67,0.19,14.46,3.1,7.53,3.3,1.63,0
"163","Tom Barrass","WCE","DEF",80,440660,447200,-6540,17,83.2,80.22,3.51,100,87,0.28,14.45,1.83,8,3.28,2.39,0
"164","Jack Lukosius","GCS","DEF",80,439630,430800,8830,17,80.2,79.18,5.73,100,68,0.24,14.26,2.98,8,2.59,2.05,0
"165","Rory Lobb","FRE","FWD",80,439188,415000,24188,17,77.2,84.07,3.39,100,76.2,0.24,15.14,1.77,8,2.89,2.05,0
"166","Jason Johannisen","WBD","DEF",80,438453,448300,-9847,16,83.4,81.71,5.07,94.12,75.75,0.24,14.71,2.64,7.53,2.87,2.05,0
"167","Josh Daicos","COL","MID",80,436981,442200,-5219,16,82.3,79.22,5.5,94.12,83.57,0.22,14.27,2.86,7.53,3.16,1.88,0
"168","Michael Hurley","ESS","DEF",79,435510,431400,4110,14,80.3,93.52,5.2,82.35,59,0.14,16.84,2.71,6.59,2.26,1.2,0
"169","Noah Anderson","GCS","MID",79,433597,411500,22097,17,76.6,75.59,5.79,100,87.8,0.18,13.61,3.01,8,3.31,1.54,0
"170","Marlion Pickett","RIC","MID",79,431832,386500,45332,15,71.9,93,4.21,88.24,62.67,0.11,16.75,2.19,7.06,2.4,0.95,0
"171","Jack Martin","CAR","FWD",78,429625,446300,-16675,15,83.1,82.07,4.81,88.24,53,0.33,14.78,2.5,7.06,2.04,2.82,0
"172","Jack Redden","WCE","MID",78,429183,377900,51283,12,70.3,93.85,5.48,70.59,65,0.15,16.9,2.85,5.65,2.48,1.29,0
"173","Tom Papley","SYD","FWD",78,428889,428600,289,17,79.8,78.76,4.02,100,74.2,0.24,14.18,2.1,8,2.82,2.05,0
"174","Nick Coffield","STK","DEF",78,428742,426500,2242,16,79.4,78.94,5.21,94.12,85.29,0.17,14.22,2.71,7.53,3.22,1.46,0
"175","Caleb Serong","FRE","MID",78,427271,435600,-8329,14,81.1,79.79,5.62,82.35,88.8,0.21,14.37,2.93,6.59,3.35,1.8,0
"176","Jeremy McGovern","WCE","DEF",78,425946,462100,-36154,11,86,89,4.57,64.71,85.5,0.25,16.03,2.38,5.18,3.23,2.13,0
"177","James Harmes","MEL","DEF",78,425652,344700,80952,13,64.2,91.96,4.98,76.47,78.5,0.08,16.56,2.59,6.12,2.97,0.69,0
"178","Tom Jonas","POR","DEF",77,424034,373600,50434,17,69.5,80.78,3.51,100,69.33,0.21,14.55,1.83,8,2.64,1.8,0
"179","Jack Graham","RIC","MID",77,424034,446400,-22366,12,83.1,81.12,5.19,70.59,85.29,0.31,14.61,2.7,5.65,3.22,2.64,0
"180","Brandan Parfitt","GEE","MID",77,423739,455100,-31361,14,84.7,83.44,4.99,82.35,82.62,0.17,15.03,2.6,6.59,3.12,1.46,0
"181","Michael Hibberd","MEL","DEF",77,423298,378000,45298,14,70.4,91.1,5.16,82.35,65,0.07,16.4,2.69,6.59,2.48,0.61,0
"182","Tom Lynch","ADE","FWD",77,423151,407900,15251,13,75.9,81.69,6.04,76.47,93,0.15,14.71,3.14,6.12,3.5,1.29,0
"183","Karl Amon","POR","MID",77,421680,431400,-9720,17,80.3,78,5.22,100,77.5,0.11,14.05,2.72,8,2.94,0.95,0
"184","Dan Butler","STK","FWD",77,421532,416900,4632,17,77.7,76.21,3.73,100,72.57,0.26,13.73,1.94,8,2.76,2.22,0
"185","Sean Darcy","FRE","RUC",77,421385,420100,1285,15,78.2,76.53,5.215,88.24,89.4,0.2,13.78,2.72,7.06,3.37,1.71,0
"186","Hayden Crozier","WBD","DEF",77,421238,409100,12138,14,76.1,77,4.5,82.35,79.67,0.33,13.87,2.34,6.59,3.01,2.82,0
"187","Sam Powell-Pepper","POR","MID",76,419178,404500,14678,17,75.3,74.11,4.77,100,75.5,0.21,13.35,2.48,8,2.86,1.8,0
"188","Sam Powell-Pepper","POR","FWD",76,419178,404500,14678,17,75.3,74.11,4.77,100,75.5,0.21,13.35,2.48,8,2.86,1.8,0
"189","Darcy Moore","COL","DEF",76,419031,430200,-11169,16,80.1,77.17,4.2,94.12,78.67,0.22,13.9,2.19,7.53,2.98,1.88,0
"190","Isaac Heeney","SYD","FWD",76,419031,454500,-35469,6,94,93,4.9,35.29,94,0.33,16.75,2.55,2.83,3.53,2.82,0
"191","Callum Sinclair","SYD","RUC",76,419031,414100,4931,13,77.1,87.88,5.4775,76.47,62.5,0.15,15.83,2.85,6.12,2.39,1.29,0
"192","Jade Gresham","STK","MID",76,418737,438100,-19363,11,81.5,81.9,6.03,64.71,81.5,0.27,14.75,3.14,5.18,3.08,2.31,0
