,Name,Team,Position,Proj_Score,Price,adp
329,Taylor Duryea,WBD,FWD,65,342200,-8
332,Tom McDonald,MEL,FWD,65,323000,-8
335,Nathan Jones,MEL,FWD,65,292100,-8
338,Josh Battle,STK,FWD,65,362900,-8
604,Mitch Lewis,HAW,FWD,65,199500,-8
121,Jared Polec,NME,MID,88,477800,-9
122,Rory Sloane,ADE,MID,88,471900,-9
243,Brennan Cox,FRE,DEF,73,433500,-9
247,Blake Hardwick,HAW,DEF,73,373100,-9
248,Dougal Howard,STK,DEF,73,355200,-9
339,David Cuningham,CAR,FWD,64,340700,-9
341,Dyson Heppell,ESS,MID,88,319100,-9
342,Steven Motlop,POR,FWD,64,308500,-9
343,Will Hayward,SYD,FWD,64,327100,-9
348,Zac Fisher,CAR,FWD,64,394200,-9
350,Nick Blakey,SYD,FWD,64,318700,-9
351,Sam Day,GCS,FWD,64,298300,-9
354,Elliott Himmelberg,ADE,FWD,64,358000,-9
356,Jordan De Goey,COL,FWD,64,435200,-9
608,Braeden Campbell,SYD,FWD,64,189300,-9
609,Archie Perkins,ESS,FWD,64,171300,-9
100,James Sicily,HAW,DEF,72,552900,-10
125,Trent Cotchin,RIC,MID,87,443500,-10
128,David Swallow,GCS,MID,87,438400,-10
130,Brandon Ellis,GCS,MID,87,450600,-10
132,Shai Bolton,RIC,MID,87,462400,-10
165,Sean Darcy,FRE,RUC,81,420100,-10
254,Nathan Wilson,FRE,DEF,72,395100,-10
358,Jake Melksham,MEL,FWD,63,296800,-10
359,Taylor Walker,ADE,FWD,63,298200,-10
360,Tim O'Brien,HAW,FWD,63,297500,-10
361,Brendon Ah Chee,WCE,FWD,63,310200,-10
362,Cameron Zurhaar,NME,FWD,63,337800,-10
366,Alex Sexton,GCS,FWD,63,330000,-10
107,Sebastian Ross,STK,MID,86,417900,-11
137,Ben Keays,ADE,MID,86,436200,-11
139,Kyle Langford,ESS,MID,86,436900,-11
141,Liam Shiels,HAW,MID,86,420100,-11
262,Wil Powell,GCS,DEF,71,358900,-11
263,Luke Brown,ADE,DEF,71,363400,-11
264,David Mackay,ADE,DEF,71,393300,-11
370,Sam Simpson,GEE,FWD,62,350600,-11
381,Daniel Lloyd,GWS,FWD,62,330900,-11
382,Josh Jenkins,GEE,FWD,62,323400,-11
87,Marc Murphy,CAR,MID,85,444700,-12
143,Angus Brayshaw,MEL,MID,85,435200,-12
145,Noah Anderson,GCS,MID,85,411500,-12
189,Callum Sinclair,SYD,RUC,79,414100,-12
269,Darcy Gardiner,BRI,DEF,70,362800,-12
273,Aidan Corr,NME,DEF,70,381100,-12
274,Damon Greaves,HAW,DEF,70,389700,-12
275,Mark O'Connor,GEE,DEF,70,380800,-12
276,Stephen Hill,FRE,DEF,70,338000,-12
277,Jarryn Geary,STK,DEF,70,320400,-12
278,Ben Long,STK,DEF,70,384100,-12
279,Liam Jones,CAR,DEF,70,387500,-12
280,Ryan Lester,BRI,DEF,70,380200,-12
384,Josh Thomas,COL,FWD,61,305800,-12
386,Ed Richards,WBD,FWD,61,309300,-12
387,Esava Ratugolea,GEE,FWD,61,369400,-12
389,Nick Holman,GCS,FWD,61,328600,-12
391,Bailey Scott,NME,FWD,61,332300,-12
396,Sydney Stack,RIC,FWD,61,277600,-12
92,Elliot Yeo,WCE,MID,84,483000,-13
150,Mitch Robinson,BRI,MID,84,418800,-13
152,Josh Daicos,COL,MID,84,442200,-13
199,Marc Pittonet,CAR,RUC,78,421500,-13
200,Peter Ladhams,POR,RUC,78,460000,-13
208,Shane Mumford,GWS,RUC,78,420700,-13
283,Ben Paton,STK,DEF,69,344200,-13
284,Dylan Grimes,RIC,DEF,69,382800,-13
398,Jaidyn Stephenson,NME,FWD,60,354100,-13
401,Tyson Stengle,ADE,FWD,60,305300,-13
403,Harry McKay,CAR,FWD,60,319900,-13
605,Harrison Jones,ESS,FWD,60,123900,-13
613,Trey Ruscoe,COL,FWD,60,206800,-13
615,Bailey J. Williams,WCE,FWD,60,193400,-13
616,Sam Flanders,GCS,FWD,60,192300,-13
617,Jonathon Patton,HAW,FWD,60,189800,-13
620,Tom Fullarton,BRI,FWD,60,128900,-13
622,James Rowe,ADE,FWD,60,117300,-13
291,Lachie Henderson,GEE,DEF,68,377700,-14
