"","Name","Team","Position","proj_score","proj_salary","Price","value","2020_Games","2020_Average","talent","opportunity","durability","form","consistency","weighted_talent","weighted_opportunity","weighted_durability","weighted_form","weighted_consistency"
"91","Shannon Hurn","WCE","DEF",87,456605,477800,-21195,16,88.9,102.74,5.57,94.12,101,0.29,12.87,6.25,7.39,6.06,3.09
"92","Jarrod Witts","GCS","RUC",87,455325,501600,-46275,17,93.4,98.62,6.16,100,85.6,0.29,12.08,7.23,8,5.16,3.09
"93","Devon Smith","ESS","MID",86,452764,458000,-5236,16,85.2,98.33,6.01,94.12,94.2,0.31,12.02,6.98,7.39,5.67,3.3
"94","Mark Blicavs","GEE","DEF",86,451227,531600,-80373,17,98.9,104.65,4.03,100,95.56,0.43,13.24,3.68,8,5.74,4.58
"95","Mark Blicavs","GEE","MID",86,451227,531600,-80373,17,98.9,104.65,4.03,100,95.56,0.43,13.24,3.68,8,5.74,4.58
"96","Christian Salem","MEL","DEF",85,448922,469100,-20178,16,87.3,90.45,6.34,94.12,92.67,0.38,10.51,7.53,7.39,5.58,4.05
"97","Ed Langdon","MEL","MID",85,447898,487300,-39402,17,90.7,90.71,6.77,100,93.33,0.24,10.56,8.25,8,5.61,2.56
"98","Jack Billings","STK","MID",85,446874,514800,-67926,17,95.8,93.42,6.35,100,80.29,0.32,11.08,7.55,8,4.86,3.41
"99","Daniel Rich","BRI","DEF",85,444825,483100,-38275,13,89.9,95.46,6.11,76.47,118.25,0.33,11.47,7.15,5.54,7.06,3.52
"100","Dan Houston","POR","DEF",84,441368,489300,-47932,15,91.1,91.61,5.58,88.24,105.75,0.41,10.73,6.26,6.77,6.34,4.37
"101","Scott Lycett","POR","RUC",84,440728,520700,-79972,13,96.9,101.39,6.23,76.47,89.67,0.33,12.61,7.35,5.54,5.4,3.52
"102","Jaeger O'Meara","HAW","MID",83,437014,488000,-50986,12,90.8,94,6.62,70.59,92,0.42,11.19,8,4.93,5.54,4.47
"103","Adam Cerra","FRE","MID",83,436886,484800,-47914,17,90.2,89.76,5.79,100,100.6,0.29,10.38,6.61,8,6.04,3.09
"104","Dom Sheed","WCE","MID",83,436630,478500,-41870,16,89.1,91.96,6.9,94.12,71.8,0.29,10.8,8.46,7.39,4.36,3.09
"105","Brad Sheppard","WCE","DEF",83,435350,492700,-57350,17,91.7,89.89,5.55,100,86.83,0.39,10.4,6.21,8,5.24,4.15
"106","Sebastian Ross","STK","MID",83,434197,417900,16297,14,77.8,105.13,6.13,82.35,86.4,0.19,13.33,7.18,6.16,5.21,2.03
"107","Will Setterfield","CAR","MID",82,433429,481900,-48471,16,89.7,89.69,5.42,94.12,100.75,0.38,10.36,6,7.39,6.05,4.05
"108","Rhys Stanley","GEE","RUC",82,433173,551900,-118727,7,102.7,98.45,7.2275,41.18,102.17,0.45,12.05,9.01,1.85,6.13,4.79
"109","David Swallow","GCS","MID",82,431124,438400,-7276,15,81.6,102.08,6.31,88.24,87.75,0.13,12.74,7.48,6.77,5.29,1.39
"110","Rory Sloane","ADE","MID",82,430740,471900,-41160,12,87.8,115.83,5.6,70.59,86.33,0.17,15.38,6.3,4.93,5.21,1.82
"111","Brodie Smith","ADE","DEF",82,429460,438200,-8740,16,81.6,91.79,6.08,94.12,82.5,0.31,10.77,7.1,7.39,4.98,3.3
"112","Brodie Smith","ADE","MID",82,429460,438200,-8740,16,81.6,91.79,6.08,94.12,82.5,0.31,10.77,7.1,7.39,4.98,3.3
"113","James Worpel","HAW","MID",81,424850,474200,-49350,15,88.3,98.71,6.08,88.24,84,0.2,12.1,7.1,6.77,5.07,2.14
"114","Zak Jones","STK","MID",80,422545,494700,-72155,14,92.1,88.25,6.5,82.35,81,0.38,10.09,7.8,6.16,4.9,4.05
"115","Darcy Parish","ESS","MID",80,420113,465800,-45687,17,86.7,86.71,6.34,100,92.5,0.18,9.79,7.53,8,5.57,1.92
"116","Tim Taranto","GWS","MID",80,418192,453700,-35508,11,84.5,103.57,6.46,64.71,77.8,0.27,13.03,7.73,4.31,4.71,2.88
"117","Lachie Weller","GCS","MID",80,418064,436500,-18436,17,81.2,87.32,5.92,100,79.6,0.29,9.91,6.83,8,4.82,3.09
"118","Ben McEvoy","HAW","RUC",79,416143,456000,-39857,16,84.9,100.79,4.9,94.12,79.75,0.25,12.49,5.13,7.39,4.82,2.67
"119","Jarrod Berry","BRI","MID",79,415759,521500,-105741,15,97.1,90.76,5.7,88.24,81.8,0.35,10.57,6.46,6.77,4.94,3.73
"120","Jordan Dawson","SYD","DEF",79,415631,485700,-70069,16,85.4,86.09,5.55,94.12,98,0.31,9.67,6.21,7.39,5.89,3.3
"121","Bachar Houli","RIC","DEF",79,415247,465600,-50353,9,86.7,108.17,6.41,52.94,74,0.31,13.91,7.65,3.08,4.49,3.3
"122","Liam Shiels","HAW","MID",79,412686,420100,-7414,16,78.2,93.71,5.68,94.12,76,0.25,11.13,6.43,7.39,4.61,2.67
"123","Toby Nankervis","RIC","RUC",78,411406,442900,-31494,7,82.4,97.24,6.9125,41.18,102.4,0.36,11.81,8.49,1.85,6.14,3.84
"124","Liam Duggan","WCE","DEF",78,409229,448600,-39371,16,83.5,83.29,5.77,94.12,96,0.29,9.13,6.58,7.39,5.77,3.09
"125","Rory Lobb","FRE","RUC",78,408332,415000,-6668,17,77.2,87.07,5.9325,100,76.2,0.24,9.86,6.85,8,4.62,2.56
"126","Zac Williams","CAR","DEF",77,407052,458600,-51548,11,85.4,101.62,5.66,64.71,75.75,0.36,12.65,6.4,4.31,4.59,3.84
"127","Hamish Hartlett","POR","DEF",77,406156,421900,-15744,17,78.5,101.42,4.79,100,73.17,0.16,12.62,4.95,8,4.44,1.71
